-0,49999872;183;10;;30,71854079;;
-0,07641582;89;7,0003;;101,0004;;2128
-0,14111292;50;7,9993;;;;
0,43066296;778;8,0028;;;;
0,49975458;197;7,0001;;;;
-0,49999872;453;6,9998;;;;
0,11401338;198;6,9986;;;;
-0,49999872;255;7,0009;;;;
0,49975458;0;8,001;;;;
-0,49999872;255;8,0011;;;;
0,49975458;0;8,0004;;;;
-0,49999872;255;7,0002;;;;
0,49975458;0;7,0016;;;;
-0,49999872;255;8,0013;;;;
0,49975458;0;10,0011;;;;
0,13232388;255;5,9984;;;;
0,49975458;323;6,9999;;;;
-0,49999872;579;5,9998;;;;
-0,30566328;323;7,0003;;;;
-0,30566328;323;6,0008;;;;
0,49975458;167;6,0009;;;;
-0,21386664;422;7,0006;;;;
0,49975458;313;6,0006;;;;
-0,49999872;568;7,0004;;;;
0,49975458;313;6,9999;;;;
-0,49999872;568;7,9998;;;;
0,44872932;313;9,0015;;;;
0,11645478;542;10,9991;;;;
0,415038;602;6,9966;;;;
-0,40820208;12;5,9984;;;;
-0,49999872;603;6,9994;;;;
-0,01562496;347;8,0008;;;;
0,49975458;339;7,9989;;;;
0,49975458;594;7,0006;;;;
-0,49999872;50;7,001;;;;
0,49975458;595;7,9999;;;;
-0,49999872;50;8,0023;;;;
0,49975458;595;7,004;;;;
-0,49999872;50;10,0014;;;;
0,49975458;595;8,0025;;;;
-0,49999872;50;6,9993;;;;
0,49975458;595;7,9994;;;;
-0,49999872;50;7,0006;;;;
0,49975458;594;7,0003;;;;
0,40478412;49;7,9995;;;;
0,49975458;257;8,0003;;;;
0,21191352;513;6,9997;;;;
-0,44775276;621;7,0002;;;;
0,49975458;393;7,9992;;;;
0,0622557;648;8,9962;;;;
0,49975458;680;8,9996;;;;
-0,49999872;135;6,9993;;;;
0,49975458;680;8,9998;;;;
-0,49999872;135;9,0014;;;;
0,18286086;680;7,9994;;;;
0,49975458;773;7,9994;;;;
0,22387638;229;8,0007;;;;
0,0158691;343;7,9993;;;;
-0,49999872;352;7,9993;;;;
-0,49999872;96;7,9993;;;;
0,49975458;640;8,0001;;;;
0,18261672;95;7,0031;;;;
0,49975458;189;7,0014;;;;
-0,49999872;445;7,9985;;;;
0,49975458;190;6,9976;;;;
-0,49999872;445;7,0005;;;;
0,49975458;190;7,0008;;;;
-0,49999872;445;8,0006;;;;
0,49975458;189;7,0006;;;;
-0,49999872;444;7,0004;;;;
0,28173756;189;7,9998;;;;
-0,49999872;333;7,9991;;;;
0,49975458;78;6,9991;;;;
0,47680542;333;7,9979;;;;
0,04907214;577;6,9976;;;;
0,49975458;602;11,001;;;;
0,49975458;602;7,9979;;;;
-0,49999872;58;9,0005;;;;
0,49975458;603;7,9993;;;;
-0,49999872;58;8,6364;;;;
0,49975458;602;9,0007;;;;
-0,49999872;57;9,0002;;;;
0,14355432;602;9,6624;;;;
-0,30566328;675;9,0009;;;;
0,13134732;519;9,0002;;;;
0,13134732;519;7,0003;;;;
0,49975458;586;7,0004;;;;
-0,15966756;370;9,0031;;;;
-0,49999872;382;8,9994;;;;
0,49975458;126;7,9989;;;;
-0,49999872;381;6,9995;;;;
0,49975458;126;7,0003;;;;
-0,49999872;381;7,9997;;;;
0,49975458;126;8,0009;;;;
-0,49999872;381;7,9984;;;;
-0,0085449;126;8,9991;;;;
0,01513668;122;8,0004;;;;
0,49975458;129;7,9994;;;;
0,49975458;384;9;;;;
-0,49999872;640;8;;;;
-0,49999872;640;7,9993;;;;
0,49755732;385;9,0001;;;;
-0,49999872;639;9,0002;;;;
0,49975458;384;9,001;;;;
-0,31542888;639;8,0004;;;;
0,49975458;478;8,0007;;;;
-0,2697747;733;6,9998;;;;
