0,49975458;783;4,9976
-0,49999872;85;0,9987
0,49975458;630;1,9949
-0,49999872;85;1,9999
0,4687488;630;2,0022
0,49975458;69;0,9653
-0,44579964;325;1,9987
0,49975458;97;0,9987
-0,49999872;352;0,9989
0,49975458;97;1,0001
-0,00903318;352;1,0025
0,49975458;348;0,9992
-0,49999872;603;0,9985
-0,42455946;348;0,9988
-0,05810532;131;0,9986
0,32128824;101;2,0005
0,41039934;265;1
0,37768458;475;1,0005
0,31689372;668;1,0007
0,31689372;668;1,9988
-0,49999872;30;1,0004
-0,2978508;575;1,0003
0,2844231;423;1
0,13769496;568;1,0007
0,49975458;638;1,0258
-0,49999872;94;1,9987
0,49975458;639;2,0012
-0,49999872;94;1,9694
0,49975458;639;1,0001
-0,01538082;94;0,9988
0,49975458;87;0,9977
-0,40331928;342;1,9971
0,49975458;136;1,9984
-0,49999872;391;0,9982
0,49975458;136;1,0003
0,49975458;391;1,0031
0,19091748;647;2,9995
0,49975458;745;1,0026
-0,49999872;200;0,9985
0,49975458;745;1,0004
-0,24145446;200;1,0001
0,49975458;78;2,0023
-0,49999872;333;1,9579
-0,20190378;77;1,0004
-0,085449;774;1,9693
0,29516526;730;1,966
0,49975458;81;1,9991
0,42773328;336;0,9995
0,03149406;555;0,9936
0,1855464;572;2,9994
-0,03710928;667;1,9685
0,32788002;648;2,0041
0,49975458;15;0,9999
0,49975458;271;0,9714
-0,49999872;527;0,9593
0,49975458;272;0,9592
-0,49999872;527;6,9865
0,49975458;272;24,2753
0,49975458;567;1,928
-0,49999872;42;0,9996
0,49975458;587;0,9996
0,35790924;42;1,0004
0,49975458;225;0,9975
-0,21313422;481;2,0008
-0,45336798;372;1,9947
0,49975458;140;2,0013
-0,26806572;395;2,0008
0,49975458;259;2,0011
-0,49999872;514;2,0078
0,30126876;259;2,0057
-0,49999872;412;2,0011
0,49975458;157;3,7239
0,49975458;412;2,0031
0,06738264;668;3,0064
-0,00927732;702;0,9995
-0,19702098;699;0,9984
-0,04174794;598;0,9982
-0,2050776;576;0,9991
0,44335824;471;7,0007
0,49975458;697;2,0016
-0,49999872;137;3,0009
-0,49999872;83;0,9994
0,49975458;627;1,9597
-0,49999872;82;1,9537
0,49975458;627;1,0022
-0,49999872;82;2,0101
0,49975458;627;0,9998
-0,49999872;82;4,9895
0,49975458;627;1,996
-0,11254854;82;0,9993
-0,00463866;25;2,0013
0,35620026;23;1,9999
-0,36816312;204;3,001
0,49975458;17;0,9995
-0,44702034;272;2,0001
